[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\email\base64mime.py first seen with mtime 1617707616.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\json\decoder.py first seen with mtime 1617707618.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\token.py first seen with mtime 1617707618.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\getpass.py first seen with mtime 1617707616.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\html\entities.py first seen with mtime 1617707616.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\distutils\version.py first seen with mtime 1617707616.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\xml\dom\xmlbuilder.py first seen with mtime 1617707618.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\asyncio\trsock.py first seen with mtime 1617707616.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\Desktop\Projects\env\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1625853028.3522372
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\collections\abc.py first seen with mtime 1617707616.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\unittest\signals.py first seen with mtime 1617707618.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\xml\dom\domreg.py first seen with mtime 1617707618.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\Desktop\Projects\env\Lib\site-packages\PIL\_imaging.cp39-win_amd64.pyd first seen with mtime 1625853092.698578
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\Desktop\Projects\env\Lib\site-packages\pytz\tzfile.py first seen with mtime 1625853021.5585444
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\Desktop\Projects\env\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1625853027.4435272
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\typing.py first seen with mtime 1617707618.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\AppData\Local\Programs\Python\Python39\Lib\tempfile.py first seen with mtime 1617707618.0
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\Desktop\Projects\env\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1625853027.4106157
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\Desktop\Projects\env\Lib\site-packages\django\utils\connection.py first seen with mtime 1625853027.7426536
[10/Jul/2021 19:51:48] DEBUG [django.utils.autoreload:379] File C:\Users\The Developers\Desktop\Projects\env\Lib\site-packages\django\db\__init__.py first seen with mtime 1625853027.499218
